"id","Bank_Name","IFSC_Code"
"1","ADITYA BIRLA PAYMENTS BANK","ABPB"
"2","AIRTEL PAYMENTS BANK LIMITED","AIRP"
"3","ALLAHABAD BANK","ALLA"
"4","ANDHRA BANK","ANDB"
"5","AXIS BANK LTD","UTIB"
"6","BANDHAN BANK LIMITED","BDBL"
"7","BANK OF BAHRAIN AND KUWAIT","BBKM"
"8","BANK OF BARODA","BARB"
"9","BANK OF INDIA","BKID"
"10","BANK OF MAHARASHTRA","MAHB"
"11","BASSEIN CATHOLIC COOPERATIVE BANK LIMITED","BACB"
"12","BHARAT COOPERATIVE BANK MUMBAI LIMITED","BCBM"
"13","BHARATIYA MAHILA BANK","BMBL"
"14","CANARA BANK","CNRB"
"15","CATHOLIC SYRIAN BANK LIMITED","CSBK"
"16","CENTRAL BANK OF INDIA","CBIN"
"17","CENTURIAN BANK OF PUNJAB","CENT"
"18","CITI BANK","CITI"
"19","CITY UNION BANK LIMITED","CIUB"
"20","CORPORATION BANK","CORP"
"21","DCB BANK LIMITED","DCBL"
"22","DENA BANK","BKDN"
"23","DEUTSCHE BANK","DEUT"
"24","DEVELOPMENT BANK OF SINGAPORE","DBSS"
"25","DHANALAKSHMI BANK","DLXB"
"26","EQUITAS SMALL FINANCE BANK LIMITED","ESFB"
"27","FEDERAL BANK","FDRL"
"28","G P PARSIK BANK","PJSB"
"29","HDFC BANK LTD","HDFC"
"30","HSBC BANK","HSBC"
"31","ICICI BANK LIMITED","ICIC"
"32","IDBI BANK LTD","IBKL"
"33","IDFC BANK LIMITED","IDFB"
"34","INDIAN BANK","IDIB"
"35","INDIAN OVERSEAS BANK","IOBA"
"36","INDUSIND BANK LTD","INDB"
"37","ING VYSYA BANK LTD","VYSA"
"38","JAMMU AND KASHMIR BANK LIMITED","JAKA"
"39","JANATA SAHAKARI BANK LIMITED","JSBP"
"40","KALUPUR COMMERCIAL COOPERATIVE BANK","KCCB"
"41","KALYAN JANATA SAHAKARI BANK","KJSB"
"42","KARNATAKA BANK LIMITED","KARB"
"43","KARUR VYSYA BANK LTD","KVBL"
"44","KERALA GRAMIN BANK","KLGB"
"45","KOTAK MAHINDRA BANK LTD","KKBK"
"46","LAXMI VILAS BANK LTD","LAVB"
"47","NKGSB COOPERATIVE BANK LIMITED","NKGS"
"48","ORIENTAL BANK OF COMMERCE","ORBC"
"49","PAYTM PAYMENTS BANK LTD","PYTM"
"50","PRATHAMA BANK","PRTH"
"51","PUNJAB AND MAHARASHTRA COOPERATIVE BANK","PMCB"
"52","PUNJAB AND SIND BANK","PSIB"
"53","PUNJAB NATIONAL BANK","PUNB"
"54","RBL Bank Limited","RATN"
"55","SARASWAT COOPERATIVE BANK LIMITED","SRCB"
"56","SOUTH INDIAN BANK","SIBL"
"57","STANDARD CHARTERED BANK LTD.","SCBL"
"58","STATE BANK OF INDIA","SBIN"
"59","SURYODAY SMALL FINANCE BANK LIMITED","SURY"
"60","SYNDICATE BANK","SYNB"
"61","TAMILNAD MERCANTILE BANK LIMITED","TMBL"
"62","THE COSMOS CO OPERATIVE BANK LIMITED","COSB"
"63","THE MEHSANA URBAN COOPERATIVE BANK","MSNU"
"64","THE ROYAL BANK OF SCOTLAND N V","ABNA"
"65","THE SEVA VIKAS COOPERATIVE BANK LIMITED","SVBL"
"66","THE SHAMRAO VITHAL COOPERATIVE BANK","SVCB"
"67","THE TAMIL NADU STATE APEX COOPERATIVE BANK","TNSC"
"68","THE THANE BHARAT SAHAKARI BANK LIMITED","TBSB"
"69","TJSB SAHAKARI BANK LTD","TJSB"
"70","UCO BANK","UCBA"
"71","UJJIVAN SMALL FINANCE BANK LIMITED","UJVN"
"72","UNION BANK OF INDIA","UBIN"
"73","UNITED BANK OF INDIA","UTBI"
"74","VIJAYA BANK","VIJB"
"75","YES BANK LTD","YESB"
"76","ZILA SAHAKRI BANK LIMITED GHAZIABAD","ZSBL"
"77","ABHYUDAYA CO-OPERATIVE BANK","ABHY"
"78","THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK LTD","ADCC"
"79","THE SUTEX CO-OP.BANK LTD.","SUTB"
"80","BIHAR GRAMIN BANK","BGBX"
"81","THE VARACHHA CO-OP BANK LTD","VARA"
"82","KALLAPPANNA AWADE ICHALKARANJI JANATASAHAKARI BANK","KAIJ"
"83","The Adinath Co Op Bank Ltd","TACX"
"84","The Adarsh Co Op Urban Bank Ltd","ACUX"
"85","BNP Paribas","BNPA"
"86","The Utkal Cooperative Banking Society Ltd","UCBS"
"87","RENDAL SAHAKARI BANK LTD RENDAL","REBX"
"88","Lokmangal Co-Op. Bank Ltd. Solapur","LKMX"
"89","The Agrasen Co-operative Urban Bank Ltd","AGCX"
"90","THE MOGA CENTRAL COOPERATIVE BANK LTD","MOGX"
"91","National Urban Cooperative Bank Ltd","NALX"
"92","KONOKLOTA MAHILA URBAN COOP BANK LTD","KOCX"
"93","UNIVERSAL CO-OPERATIVE URBAN BANK LTD","UCUX"
"94","THE RAJPUTANA MAHILA URBAN CO OPERATIVE BAK LTD","RAMX"
"95","ANDHRA PRAGATHI GRAMEENA BANK","APGB"
"96","The Nabadwip Co-operative Credit Bank Ltd","NCCX"
"97","THE MUGBERIA CENTRAL CO-OPERATIVE BANK LTD","MBCX"
"98","The Shillong Cooperative Urban Bank Ltd","TSIX"
"99","Amreli Jilla Madhyastha Sahakari Bank Ltd","AMRX"
"100","DHARMAPURI DISTRICT CENTRAL CO OP BANK LTD","DDBX"
"101","Saurashtra Gramin Bank","SAGX"
"102","Integral Urban Co Op Bank Ltd","IUCB"
"103","Kozhikode District Co Op Bank","KDCX"
"104","The Vijay Co Op Bank Ltd","VIJX"
"105","Zila Sahakari Bank Ltd Haridwar","ZSHX"
"106","The Pochampally Co Op Urban Bank Ltd","PCUX"
"107","Gayatri Co-operative Urban Bank Ltd","GCUX"
"108","Manorama Co Op Bank Ltd Solapur","MSOX"
"109","Nagar Sahakari Bank Ltd. Gorakhpur","NSGX"
"110","Janaseva Sahakari Bank Borivli Ltd","JASB"
"111","The Junagadh Commercial Co-Op Bank Ltd","JUCX"
"112","Sterling Urban Co Operative Bank Ltd","STRX"
"113","The Karnataka State Co-Operative Apex Bank Ltd","KSCB"
"114","Shri Veershaiv Co-Op Bank Ltd","VCCX"
"115","Aman Sahakari Bank Ltd","AMAX"
"116","The Burdwan Central Co op Bank Ltd","BURX"
"117","Meghalaya Rural Bank","MERX"
"118","KHALILABAD NAGAR SAHKARI BANK LTD","KHAX"
"119","TEHRI GARHWAL ZILA SAHKARI BANK LTD","TEHX"
"120","The Salem District Central Co Op Bank Ltd","SCCX"
"121","Tumkur Grain Merchant's Co-operate Bank Ltdz","TGMB"
"122","Bharati Sahakari Bank Ltd. Pune","BHSX"
"123","THE KURMANCHAL NAGAR SAHKARI BANK LTD","KUNS"
"124","THE ANDHRA PRADESH STATE CO OP BANK LTD","APBL"
"125","KASHMIR MERCANTILE CO OPERATIVE BANK LTD","KASX"
"126","SAWAI MADHOPUR URBAN CO OPERATIVE BANK LTD","SWMX"
"127","The Trivandrum Co-operative Urban Bank Ltd","TCUB"
"128","The Eenadu Coop Urban Bank Ltd","TECX"
"129","The Chandigarh State Co-op Bank Ltd","CHSX"
"130","The Citizens Urban Cooperative Bank Ltd.","CURX"
"131","Jharkhand State Co-Operative Bank Ltd","JSCX"
"132","Noida Commercial Co-Operative Bak Ltd","NOIX"
"133","Pune District Central Co-operative Bank Ltd.","PDCX"
"134","Rajadhani Co Op Urban Bank Ltd","RCUX"
"135","SHUSHRUTI SOUHARDA SAHAKARA BANK NIYAMITA","SHUX"
"136","ZILA SAHKARI BANK LTD GARHWAL KOTDWAR","ZSGX"
"137","The Surat District Co-Op Bank","SDCB"
"138","TELANGANA STATE CO OP APEX BANK LTD","TSAB"
"139","Vasai Janata Sahakari Bank Ltd","VJSX"
"140","NAINITAL DISTRICT CO OPERATIVE BANK LTD","NAIX"
"141","COMMERCIAL COOP BANK LIMITED","CMCX"
"142","UTTARKASHI ZILA SAHKARI BANK LTD","UTZX"
"143","The Guruvayur Co-operative Urban Bank Ltd","GCBX"
"144","Laxmibai Mahila Nagrik Sahakari Bank Maradit","LBMX"
"145","SAMATA CO-OPERATIVE DEVELOPMENT BANK LTD","SDBX"
"146","THE KARAN URBAN CO OP BANK LTD","TKUX"
"147","RAMGARHIA CO OP BANK LTD","RGCX"
"148","DURGAPUR STEEL PEOPLES CO OP BANK LTD","DSPX"
"149","FINGROWTH CO OP BANK LTD","FGCB"
"150","Nagrik Sahakari Bank Ltd Lucknow","NSBX"
"151","PALI URBAN CO OPERATIVE BANK LTD","PALX"
"152","Jharneshwar Nagrik Sahakari Bank Maryadit","JHAX"
"153","AMBARNATH JAI HIND CO OP BANK LTD","AJSX"
"154","THE GUJARAT STATE CO OP BANK LTD","GSCB"
"155","The Ludhiana Central Cooperative Bank Ltd","LCCX"
"156","NOBLE CO OP BANK LTD","NOBX"
"157","Mahesh Sahakari Bank Ltd Pune","MHSX"
"158","KARNALA NAGARI SAHAKARI BANK LTD PANVEL","KNPX"
"159","THE NILGIRIS DISTRICT CENTRAL CO OP BANK LTD","NDCX"
"160","SHIVAJI NAGARI SAHAKARI BANK LTD","SVNX"
"161","THE KOTTAYAM DISTRICT CO-OPERATIVE BANK LTD","KTBX"
"162","HE KANAKAMAHALAKSHMI CO OP BANK LTD","KBCX"
"163","GUARDIAN SOUHARDA SAHAKARI BANK NIYAMITA","GSSX"
"164","UTTARBANGA KSHETRIYA GRAMIN BANK","UKGX"
"165","NEW INDIA CO-OP BANK LTD","NICB"
"166","SUCO SOUHARDA SAHAKARI BANK","SSDX"
"167","CHARTERED SAHAKARI BANK NIYAMITHA","CSBX"
"168","HE VELLORE DISTRICT CENTRAL CO OP BANK LTD","VEDX"
"169","RAJDHANI NAGAR SAHKARI BANK LTD","RNSX"
"170","CHAMOLI ZILA SAHKARI BANK LTD","CHAX"
"171","THE BHARATH CO OP BANK LTD","TBCX"
"172","PATHANMTHITTA DISTRICT CO OP BANK LTD","PATX"
"173","PALUS SAHAKARI BANK LTD","PLUX"
"174","THE SOLAPUR SOCIAL URBAN CO OP BANK LTD","SSLX"
"175","SOLAPUR JANATA SAHAKARI BANK LTD","SJSX"
"176","THE BIHAR AWAMI CO OP BANK LTD","BACX"
"177","THE URBAN CO OP BANK LTD SAHARANPUR","TUOX"
"178","THE KRISHNA DISTRICT CO OP BANK","KRDX"
"179","THE PRAKASAM DISTRICT CO OP CENTRAL BANK LTD","TPDX"
"180","THE CHITTOOR DISTRICT CO OP CENTRAL BANK LTD","CHDX"
"181","THE DISTRICT CO OP CENTRAL BANK LTD KURNOOL","DCKX"
"182","THE DISTRICT CENTRAL CO OP BANK LTD ELLURU","DCDX"
"183","THE DISTRICT CO OP CENTRAL BANK LTD VIZIANAGARAM","TVDX"
"184","THE ANANTAPUR DISTRICT CO OP CENTRAL BANK LTD","TADX"
"185","THE DISTRICT CO OP CENTRAL BANK LTD KAKINADA","TDIX"
"186","THE DISTRICT CO OP CENTRAL BANK LTD SRIKAKUL","TSDX"
"187","THE KADAPPA DISTRICT CO OP CENTRAL BANK LTD","KAAX"
"188","SRI POTTI SRIRAMULU NELLORE DCCB","PSRX"
"189","THE DISTRICT CO OP CENTRAL BANK LTD VISAKHAPATNAM","DICX"
"190","THE GUNTUR DISTRICT CO OP CENTRAL BANK LTD","GDCX"
"191","THE INCOME TAX DEPT CO OP BANK LTD MUMBAI","ITDX"
"192","J AND K GRAMEEN BANK","XJKG"
"193","THE SATARA DISTRICT CENTRAL CO OP BANK LTD","SDSX"
"194","UJJIVAN SMALL FINANCE BANK LTD","USFB"
"195","PRAGATHI KRISHNA GRAMIN BANK","PKGB"
"196","AKOLA JANATA COMMERCIAL COOPERATIVE BANK","AKJB"
"197","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","ANZB"
"198","BANK INTERNASIONAL INDONESIA","IBBK"
"199","CHINATRUST COMMERCIAL BANK LIMITED","CTCB"
"200","COMMONWEALTH BANK OF AUSTRALIA","CTBA"
"201","CREDIT SUISEE AG","CRES"
"202","DEOGIRI NAGARI SAHAKARI BANK LTD. AURANGABAD","DEOB"
"203","DEPOSIT INSURANCE AND CREDIT GUARANTEE CORPORATION","DICG"
"204","DMK JAOLI BANK","DMKJ"
"205","DOHA BANK QSC","DOHB"
"206","EMIRATES NBD BANK P J S C","EBIL"
"207","ESAF SMALL FINANCE BANK LIMITED","ESMF"
"208","EXPORT IMPORT BANK OF INDIA","EIBI"
"209","FINCARE SMALL FINANCE BANK LTD","FSFB"
"210","FINO PAYMENTS BANK","FINO"
"211","FIRSTRAND BANK LIMITED","FIRN"
"212","GURGAON GRAMIN BANK","GGBK"
"213","HIMACHAL PRADESH STATE COOPERATIVE BANK LTD","HPSC"
"214","IDUKKI DISTRICT CO OPERATIVE BANK LTD","IDUK"
"215","INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED","ICBK"
"216","INDUSTRIAL BANK OF KOREA","IBKO"
"217","KAPOL COOPERATIVE BANK LIMITED","KCBL"
